input,loop count,thread count,time averaged over 5 runs,custom barrier
seq_64_test.txt,1000,10,6827.2,True
seq_64_test.txt,1000,12,2861.0,False
seq_64_test.txt,1000,12,5664.6,True
seq_64_test.txt,1000,14,3982.6,False
seq_64_test.txt,1000,14,7514.0,True
seq_64_test.txt,1000,16,4649.0,False
seq_64_test.txt,1000,16,10737.4,True
seq_64_test.txt,1000,18,4713.8,False
seq_64_test.txt,1000,18,11266.6,True
seq_64_test.txt,1000,20,7515.6,False
seq_64_test.txt,1000,20,8335.0,True
seq_64_test.txt,1000,22,8838.8,False
seq_64_test.txt,1000,22,13313.2,True
seq_64_test.txt,1000,24,8563.8,False
seq_64_test.txt,1000,24,12288.4,True
seq_64_test.txt,1000,26,11209.4,False
seq_64_test.txt,1000,26,11608.0,True
seq_64_test.txt,1000,28,9935.8,False
seq_64_test.txt,1000,28,11279.6,True
seq_64_test.txt,1000,30,10109.2,False
seq_64_test.txt,1000,30,15695.4,True
seq_64_test.txt,1000,32,9982.6,False
seq_64_test.txt,1000,32,11573.8,True
seq_64_test.txt,5000,0,1027.0,False
seq_64_test.txt,5000,0,1036.0,True
seq_64_test.txt,5000,2,1486.8,False
seq_64_test.txt,5000,2,1548.8,True
seq_64_test.txt,5000,4,1448.6,False
seq_64_test.txt,5000,4,1504.4,True
seq_64_test.txt,5000,6,2002.2,False
seq_64_test.txt,5000,6,2283.2,True
seq_64_test.txt,5000,8,4118.4,False
seq_64_test.txt,5000,8,7088.2,True
seq_64_test.txt,5000,10,3530.8,False
seq_64_test.txt,5000,10,3495.6,True
seq_64_test.txt,5000,12,2893.6,False
seq_64_test.txt,5000,12,4050.0,True
seq_64_test.txt,5000,14,3263.2,False
seq_64_test.txt,5000,14,4634.6,True
seq_64_test.txt,5000,16,3701.4,False
seq_64_test.txt,5000,16,5348.2,True
seq_64_test.txt,5000,18,4018.4,False
seq_64_test.txt,5000,18,6000.4,True
seq_64_test.txt,5000,20,4913.6,False
seq_64_test.txt,5000,20,7519.6,True
seq_64_test.txt,5000,22,4859.6,False
seq_64_test.txt,5000,22,7377.2,True
seq_64_test.txt,5000,24,5182.4,False
seq_64_test.txt,5000,24,7844.0,True
seq_64_test.txt,5000,26,5556.8,False
seq_64_test.txt,5000,26,9182.8,True
seq_64_test.txt,5000,28,5971.4,False
seq_64_test.txt,5000,28,9376.6,True
seq_64_test.txt,5000,30,6535.0,False
seq_64_test.txt,5000,30,10193.6,True
seq_64_test.txt,5000,32,8205.0,False
seq_64_test.txt,5000,32,11611.0,True
seq_64_test.txt,10000,0,2030.2,False
seq_64_test.txt,10000,0,2085.4,True
seq_64_test.txt,10000,2,2626.2,False
seq_64_test.txt,10000,2,2633.6,True
seq_64_test.txt,10000,4,2037.8,False
seq_64_test.txt,10000,4,2087.6,True
seq_64_test.txt,10000,6,2338.0,False
seq_64_test.txt,10000,6,2582.8,True
seq_64_test.txt,10000,8,3195.6,False
seq_64_test.txt,10000,8,4862.0,True
seq_64_test.txt,10000,10,5896.6,False
seq_64_test.txt,10000,10,5116.2,True
seq_64_test.txt,10000,12,3440.0,False
seq_64_test.txt,10000,12,4233.6,True
seq_64_test.txt,10000,14,3670.8,False
seq_64_test.txt,10000,14,4901.2,True
seq_64_test.txt,10000,16,4483.8,False
seq_64_test.txt,10000,16,5735.0,True
seq_64_test.txt,10000,18,4365.8,False
seq_64_test.txt,10000,18,6384.4,True
seq_64_test.txt,10000,20,4774.2,False
seq_64_test.txt,10000,20,6669.0,True
seq_64_test.txt,10000,22,5042.0,False
seq_64_test.txt,10000,22,8285.0,True
seq_64_test.txt,10000,24,5403.0,False
seq_64_test.txt,10000,24,8117.6,True
seq_64_test.txt,10000,26,5868.8,False
seq_64_test.txt,10000,26,11127.4,True
seq_64_test.txt,10000,28,6211.6,False
seq_64_test.txt,10000,28,12773.8,True
seq_64_test.txt,10000,30,7989.8,False
seq_64_test.txt,10000,30,11991.2,True
seq_64_test.txt,10000,32,8341.0,False
seq_64_test.txt,10000,32,13209.2,True
seq_64_test.txt,50000,0,12372.0,False
seq_64_test.txt,50000,0,11873.4,True
seq_64_test.txt,50000,2,11732.6,False
seq_64_test.txt,50000,2,11114.2,True
seq_64_test.txt,50000,4,11709.8,False
seq_64_test.txt,50000,4,18810.2,True
seq_64_test.txt,50000,6,18269.8,False
seq_64_test.txt,50000,6,15564.0,True
seq_64_test.txt,50000,8,19084.4,False
seq_64_test.txt,50000,8,19233.8,True
seq_64_test.txt,50000,10,17321.6,False
seq_64_test.txt,50000,10,11117.2,True
seq_64_test.txt,50000,12,8730.2,False
seq_64_test.txt,50000,12,8383.0,True
seq_64_test.txt,50000,14,8148.6,False
seq_64_test.txt,50000,14,8481.6,True
seq_64_test.txt,50000,16,8529.8,False
seq_64_test.txt,50000,16,9164.0,True
seq_64_test.txt,50000,18,8694.2,False
seq_64_test.txt,50000,18,9555.8,True
seq_64_test.txt,50000,20,9621.8,False
seq_64_test.txt,50000,20,10315.8,True
seq_64_test.txt,50000,22,15920.2,False
seq_64_test.txt,50000,22,14743.6,True
seq_64_test.txt,50000,24,16007.4,False
seq_64_test.txt,50000,24,25185.8,True
seq_64_test.txt,50000,26,16696.0,False
seq_64_test.txt,50000,26,24584.8,True
seq_64_test.txt,50000,28,28896.2,False
seq_64_test.txt,50000,28,14836.2,True
seq_64_test.txt,50000,30,12183.6,False
seq_64_test.txt,50000,30,16267.8,True
